week.treat,week,treat,pop,cage,count.1,count.2,count.3,mass.1,mass.2,mass.3,mass.t,unit.1,unit.2,unit.3,census,unit.mean,unit.sd
6,17,C,C,C2,27,32,40,2.52,4.45,4.54,371.42,0.0933,0.1391,0.1135,3221,0.1153,0.0229
6,17,C,D,D2,33,28,22,3.41,2.92,2.16,378.99,0.1033,0.1043,0.0982,3718,0.1019,0.0033
7,18,S,A,A1,22,17,19,3.25,2.65,2.69,553.72,0.1477,0.1559,0.1416,3731,0.1484,0.0072
7,18,S,B,B1,26,24,21,3.28,3.16,2.7,430.43,0.1262,0.1317,0.1286,3342,0.1288,0.0028
7,18,S,C,C1,41,31,24,4.81,3.5,2.71,718.56,0.1173,0.1129,0.1129,6282,0.1144,0.0025
7,18,S,D,D1,31,27,25,4.1,3.83,3.2,423.49,0.1323,0.1419,0.1280,3160,0.1340,0.0071
7,18,C,A,A2,19,24,25,2.68,3.17,3.04,150.75,0.1411,0.1321,0.1216,1146,0.1316,0.0097
7,18,C,B,B2,26,37,25,3.03,4.39,2.72,491.44,0.1165,0.1186,0.1088,4286,0.1147,0.0052
7,18,C,C,C2,28,20,18,3.42,2.88,2.2,248.27,0.1221,0.1440,0.1222,1918,0.1295,0.0126
7,18,C,D,D2,34,21,19,4.99,2.52,2.55,902.07,0.1468,0.1200,0.1342,6749,0.1337,0.0134
8,19,S,A,A1,32,19,22,3.42,2.65,2.12,207.49,0.1069,0.1395,0.0964,1816,0.1142,0.0225
8,19,S,B,B1,27,16,26,3.55,1.51,2.52,369.83,0.1315,0.0944,0.0969,3437,0.1076,0.0207
8,19,S,C,C1,36,35,35,4.59,4.05,4.1,477.5,0.1275,0.1157,0.1171,3975,0.1201,0.0064
8,19,S,D,D1,25,33,28,3.06,3.82,3.55,426.38,0.1224,0.1158,0.1268,3505,0.1216,0.0056
8,19,C,A,A2,37,26,28,5,3.25,3.17,312.16,0.1351,0.1250,0.1132,2508,0.1244,0.0110
